Text,Country,City,Pollution,Value,Date
Danmarks plass,Norway,Bergen,3.4708669999999997,µg/m³,2020-04-24 10:00:00
Eilif Dues vei,Norway,Bærum,1.9,µg/m³,2020-04-24 10:00:00
Klosterhaugen,Norway,Bergen,2.010067,µg/m³,2020-04-24 10:00:00
Loddefjord,Norway,Bergen,1.8537830000000002,µg/m³,2020-04-24 10:00:00
Rådal,Norway,Bergen,4.300592,µg/m³,2020-04-24 10:00:00
Olav V gate,Norway,Bodø,5.263675,µg/m³,2020-04-24 10:00:00
Vårveien,Norway,Drammen,3.3,µg/m³,2020-04-24 10:00:00
Backeparken,Norway,Drammen,1.6,µg/m³,2020-04-24 10:00:00
Leiret,Norway,Elverum,1.8141169999999998,µg/m³,2020-04-24 10:00:00
Ringsakervegen,Norway,Brumunddal,7.1,µg/m³,2020-04-24 10:00:00
Nygaardsgata,Norway,Fredrikstad,0.9694719999999999,µg/m³,2020-04-24 10:00:00
St.Croix,Norway,Fredrikstad,2.0,µg/m³,2020-04-24 10:00:00
Islamabad,Pakistan,N/A,19.0,µg/m³,2020-04-24 10:00:00
Lahore,Pakistan,N/A,23.0,µg/m³,2020-04-24 10:00:00
Karachi,Pakistan,N/A,24.0,µg/m³,2020-04-24 10:00:00
CAMPO DE MARTE,Peru,Lima,7.98,µg/m³,2020-04-24 11:00:00
Peshawar,Pakistan,N/A,29.0,µg/m³,2020-04-24 10:00:00
CARABAYLLO,Peru,Lima,6.22,µg/m³,2020-04-24 10:00:00
SAN BORJA,Peru,Lima,7.71,µg/m³,2020-04-24 11:00:00
SAN JUAN DE LURIGANCHO,Peru,Lima,9.48,µg/m³,2020-04-24 11:00:00
SAN MARTIN DE PORRES,Peru,Lima,16.0,µg/m³,2020-03-12 16:00:00
US Diplomatic Post: Lima,Peru,Lima,18.0,µg/m³,2020-04-24 05:00:00
PT04006,Portugal,Évora,3.0,µg/m³,2020-04-24 07:00:00
PT02004,Portugal,Aveiro,21.0,µg/m³,2020-04-24 10:00:00
PT05012,Portugal,Faro,0.3,µg/m³,2020-04-24 06:00:00
PT05007,Portugal,Faro,9.2,µg/m³,2020-04-24 09:00:00
PT02020,Portugal,Castelo Branco,4.0,µg/m³,2020-04-24 10:00:00
PT06005,Portugal,Ilha da Madeira,5.4,µg/m³,2020-04-24 09:00:00
PT06004,Portugal,Ilha da Madeira,2.4,µg/m³,2020-04-24 09:00:00
PT07001,Portugal,Ilha do Faial,103.4,µg/m³,2020-04-18 12:00:00
PT06008,Portugal,Ilha da Madeira,2.3,µg/m³,2020-04-24 09:00:00
PT03089,Portugal,Lisboa,11.3,µg/m³,2020-04-23 08:00:00
PT03072,Portugal,Lisboa,9.9,µg/m³,2020-04-16 13:00:00
PT03071,Portugal,Lisboa,10.8,µg/m³,2020-04-22 13:00:00
PT03102,Portugal,Lisboa,2.0,µg/m³,2020-04-15 08:00:00
PT02019,Portugal,Leiria,14.0,µg/m³,2020-04-24 05:00:00
Augustów-Miejska,Poland,Augustów,4.3,µg/m³,2020-04-24 10:00:00
WIOŚ Biskupiec-Mobilna,Poland,Biskupiec,5.36899,µg/m³,2020-04-24 10:00:00
Borsukowizna-Wiejska,Poland,Borsukowizna,3.1,µg/m³,2020-04-24 10:00:00
Bydgoszcz Warszawska,Poland,Bydgoszcz,8.8,µg/m³,2020-04-24 10:00:00
Bydgoszcz Plac Poznański,Poland,Bydgoszcz,14.1,µg/m³,2020-04-24 10:00:00
Białystok-Miejska,Poland,Białystok,7.0,µg/m³,2020-04-24 10:00:00
AM8 Gdańsk Wrzeszcz,Poland,Gdańsk,6.34361,µg/m³,2020-04-24 10:00:00
